"cpc_subclass_id","cpc_subclass_title"
"E04B","General building constructions; walls, e.g. partitions; roofs; floors; ceilings; insulation or other protection of buildings"
"E04C","Structural elements; building materials"
"E04D","Roof coverings; sky-lights; gutters; roof-working tools"
"E04F","Finishing work on buildings, e.g. stairs, floors"
"E04G","Scaffolding; forms; shuttering; building implements or aids, or their use; handling building materials on the site; repairing, breaking-up or other work on existing buildings"
"E04H","Buildings or like structures for particular purposes; swimming or splash baths or pools; masts; fencing; tents or canopies, in general"
"E05B","Locks; accessories therefor; handcuffs"
"E05C","Bolts or fastening devices for wings, specially for doors or windows"
"E05D","Hinges or suspension devices for doors, windows or wings"
"E05F","Devices for moving wings into open or closed position; checks for wings; wing fittings not otherwise provided for, concerned with the functioning of the wing"
"E05G","Safes or strong-rooms for valuables; bank protection devices; safety transaction partitions"
"E05Y","Indexing scheme associated with subclasses e05d and e05f, relating to construction elements, electric control, power supply, power signal or transmission, user interfaces, mounting or coupling, details, accessories, auxiliary operations not otherwise provided for, application thereof"
"E06B","Fixed or movable closures for openings in buildings, vehicles, fences or like enclosures in general, e.g. doors, windows, blinds, gates"
"E21B","Earth or rock drilling; obtaining oil, gas, water, soluble or meltable materials or a slurry of minerals from wells"
"E21C","Mining or quarrying"
"E21F","Safety devices, transport, filling-up, rescue, ventilation, or draining in or of mines or tunnels"
"F01D","Non-positive displacement machines or engines, e.g. steam turbines"
"F01K","Steam engine plants; steam accumulators; engine plants not otherwise provided for; engines using special working fluids or cycles"
"F01L","Cyclically operating valves for machines or engines"
"F01M","Lubricating of machines or engines in general; lubricating internal combustion engines; crankcase ventilating"
"F01N","Gas-flow silencers or exhaust apparatus for machines or engines in general; gas-flow silencers or exhaust apparatus for internal-combustion engines"
"F01P","Cooling of machines or engines in general; cooling of internal-combustion engines"
"F02B","Internal-combustion piston engines; combustion engines in general"
"F02C","Gas-turbine plants; air intakes for jet-propulsion plants; controlling fuel supply in air-breathing jet-propulsion plants"
"F02D","Controlling combustion engines"
"F02K","Jet-propulsion plants"
"F02M","Supplying combustion engines in general with combustible mixtures or constituents thereof"
"F02N","Starting of combustion engines; starting aids for such engines, not otherwise provided for"
"F02P","Ignition, other than compression ignition, for internal-combustion engines; testing of ignition timing in compression-ignition engines"
"F03B","Machines or engines for liquids"
"F03D","Wind motors"
"F03G","Spring, weight, inertia or like motors; mechanical-power producing devices or mechanisms, not otherwise provided for or using energy sources not otherwise provided for"
"F04B","Positive-displacement machines for liquids; pumps"
"F04C","Rotary-piston, or oscillating-piston, positive-displacement machines for liquids ; rotary-piston, or oscillating-piston, positive-displacement pumps"
"F04D","Non-positive-displacement pumps"
"F04F","Pumping of fluid by direct contact of another fluid or by using inertia of fluid to be pumped ; siphons"
"F05B","Indexing scheme relating to wind, spring, weight, inertia or like motors, to machines or engines for liquids covered by subclasses f03b, f03d and f03g"
"F05D","Indexing scheme for aspects relating to non-positive-displacement machines or engines, gas-turbines or jet-propulsion plants"
"F15B","Systems acting by means of fluids in general; fluid-pressure actuators, e.g. servomotors; details of fluid-pressure systems, not otherwise provided for"
"F15C","Fluid-circuit elements predominantly used for computing or control purposes"
"F15D","FLUID DYNAMICS, i.e. METHODS OR MEANS FOR INFLUENCING THE FLOW OF GASES OR LIQUIDS"
"F16B","Devices for fastening or securing constructional elements or machine parts together, e.g. nails, bolts, circlips, clamps, clips or wedges; joints or jointing"
"F16C","Shafts; flexible shafts; elements or crankshaft mechanisms; rotary bodies other than gearing elements; bearings"
"F16D","Couplings for transmitting rotation; clutches; brakes"
"F16F","Springs; shock-absorbers; means for damping vibration"
"F16G","Belts, cables, or ropes, predominantly used for driving purposes; chains; fittings predominantly used therefor"
"F16H","Gearing"
"F16J","Pistons ; cylinders; sealings"
"F16K","Valves; taps; cocks; actuating-floats; devices for venting or aerating"
"F16L","Pipes; joints or fittings for pipes; supports for pipes, cables or protective tubing; means for thermal insulation in general"
"F16M","Frames, casings or beds of engines, machines or apparatus, not specific to engines, machines or apparatus provided for elsewhere; stands; supports"
"F16N","Lubricating"
"F16P","Safety devices in general; ; safety devices for presses"
"F16T","Steam traps or like apparatus for draining-off liquids from enclosures predominantly containing gases or vapours"
"F17C","Vessels for containing or storing compressed, liquefied or solidified gases; fixed-capacity gas-holders; filling vessels with, or discharging from vessels, compressed, liquefied, or solidified gases"
"F17D","Pipe-line systems; pipe-lines"
"F21K","Non-electric light sources using luminescence; light sources using electrochemiluminescence; light sources using charges of combustible material; light sources using semiconductor devices as light-generating elements; light sources not otherwise provided for"
"F21L","Lighting devices or systems thereof, being portable or specially adapted for transportation"
"F21S","Non-portable lighting devices; systems thereof; vehicle lighting devices specially adapted for vehicle exteriors"
"F21V","Functional features or details of lighting devices or systems thereof; structural combinations of lighting devices with other articles, not otherwise provided for"
"F21W","INDEXING SCHEME ASSOCIATED WITH SUBCLASSES F21K, F21L, F21S and F21V, RELATING TO USES OR APPLICATIONS OF LIGHTING DEVICES OR SYSTEMS"
"F21Y","INDEXING SCHEME ASSOCIATED WITH SUBCLASSES F21K, F21L, F21S and F21V, RELATING TO THE FORM OR THE KIND OF THE LIGHT SOURCES OR OF THE COLOUR OF THE LIGHT EMITTED"
"F22B","Methods of steam generation; steam boilers"
"F23D","Burners"
"F23G","Cremation furnaces; consuming waste products by combustion"
"F23J","Removal or treatment of combustion products or combustion residues; flues"
"F23K","Feeding fuel to combustion apparatus"
"F23M","Casings, linings, walls or doors specially adapted for combustion chambers, e.g. firebridges; devices for deflecting air, flames or combustion products in combustion chambers; safety arrangements specially adapted for combustion apparatus; details of combustion chambers, not otherwise provided for"
"F23N","Regulating or controlling combustion"
"F23R","Generating combustion products of high pressure or high velocity, e.g. gas-turbine combustion chambers"
"F24C","Domestic stoves or ranges  ; details of domestic stoves or ranges, of general application"
"F24D","Domestic- or space-heating systems, e.g. central heating systems; domestic hot-water supply systems; elements or components therefor"
"F24F","Air-conditioning; air-humidification; ventilation; use of air currents for screening"
"F24H","Fluid heaters, e.g. water or air heaters, having heat-generating means, e.g. heat pumps, in general"
"F24S","Solar heat collectors; solar heat systems"
"F24T","Geothermal collectors; geothermal systems"
"F24V","Collection, production or use of heat not otherwise provided for"
"F25B","Refrigeration machines, plants or systems; combined heating and refrigeration systems; heat pump systems"
"F25C","Producing, working or handling ice"
"F25D","Refrigerators; cold rooms; ice-boxes; cooling or freezing apparatus not otherwise provided for"
"F26B","Drying solid materials or objects by removing liquid therefrom"
"F27B","Furnaces, kilns, ovens or retorts in general; open sintering or like apparatus"
"F27D","Details or accessories of furnaces, kilns, ovens or retorts, in so far as they are of kinds occurring in more than one kind of furnace"
"F28B","Steam or vapour condensers"
"F28C","Heat-exchange apparatus, not provided for in another subclass, in which the heat-exchange media come into direct contact without chemical interaction"
"F28D","Heat-exchange apparatus, not provided for in another subclass, in which the heat-exchange media do not come into direct contact"
"F28F","Details of heat-exchange and heat-transfer apparatus, of general application"
"F28G","Cleaning of internal or external surfaces of heat-exchange or heat-transfer conduits, e.g. water tubes or boilers"
"F41A","Functional features or details common to both smallarms and ordnance, e.g. cannons; mountings for smallarms or ordnance"
"F41B","Weapons for projecting missiles without use of explosive or combustible propellant charge; weapons not otherwise provided for"
"F41G","Weapon sights; aiming"
"F41H","Armour; armoured turrets; armoured or armed vehicles; means of attack or defence, e.g. camouflage, in general"
"F41J","Targets; target ranges; bullet catchers"
"F42B","Explosive charges, e.g. for blasting, fireworks, ammunition"
"F42C","Ammunition fuzes ; arming or safety means therefor"
"F42D","Blasting"
"G01B","Measuring length, thickness or similar linear dimensions; measuring angles; measuring areas; measuring irregularities of surfaces or contours"
"G01C","Measuring distances, levels or bearings; surveying; navigation; gyroscopic instruments; photogrammetry or videogrammetry"
"G01D","Measuring not specially adapted for a specific variable; arrangements for measuring two or more variables not covered in a single other subclass; tariff metering apparatus; measuring or testing not otherwise provided for"
"G01F","Measuring volume, volume flow, mass flow or liquid level; metering by volume"
"G01G","Weighing"
"G01H","Measurement of mechanical vibrations or ultrasonic, sonic or infrasonic waves"
"G01J","Measurement of intensity, velocity, spectral content, polarisation, phase or pulse characteristics of infrared, visible or ultraviolet light; colorimetry; radiation pyrometry"
"G01K","Measuring temperature; measuring quantity of heat; thermally-sensitive elements not otherwise provided for"
"G01L","Measuring force, stress, torque, work, mechanical power, mechanical efficiency, or fluid pressure"
"G01M","Testing static or dynamic balance of machines or structures; testing of structures or apparatus, not otherwise provided for"
"G01N","Investigating or analysing materials by determining their chemical or physical properties"
"G01P","Measuring linear or angular speed, acceleration, deceleration, or shock; indicating presence, absence, or direction, of movement"
"G01Q","Scanning-probe techniques or apparatus; applications of scanning-probe techniques, e.g. scanning probe microscopy [spm]"
"G01R","Measuring electric variables; measuring magnetic variables"
"G01S","Radio direction-finding; radio navigation; determining distance or velocity by use of radio waves; locating or presence-detecting by use of the reflection or reradiation of radio waves; analogous arrangements using other waves"
"G01T","Measurement of nuclear or x-radiation"
"G01V","Geophysics; gravitational measurements; detecting masses or objects; tags"
"G01W","Meteorology"
"G02B","Optical elements, systems or apparatus"
"G02C","Spectacles; sunglasses or goggles insofar as they have the same features as spectacles; contact lenses"
"G02F","Optical devices or arrangements for the control of light by modification of the optical properties of the media of the elements involved therein; non-linear optics; frequency-changing of light; optical logic elements; optical analogue/digital converters"
"G03B","Apparatus or arrangements for taking photographs or for projecting or viewing them; apparatus or arrangements employing analogous techniques using waves other than optical waves; accessories therefor"
"G03F","Photomechanical production of textured or patterned surfaces, e.g. for printing, for processing of semiconductor devices; materials therefor; originals therefor; apparatus specially adapted therefor;"
"G03G","Electrography; electrophotography; magnetography"
"G03H","Holographic processes or apparatus"
"G04B","Mechanically-driven clocks or watches; mechanical parts of clocks or watches in general; time pieces using the position of the sun, moon or stars"
"G04C","Electromechanical clocks or watches"
"G04F","Time-interval measuring"
"G04G","Electronic time-pieces"
"G04R","Radio-controlled time-pieces"
"G05B","Control or regulating systems in general; functional elements of such systems; monitoring or testing arrangements for such systems or elements"
"G05D","Systems for controlling or regulating non-electric variables"
"G05F","Systems for regulating electric or magnetic variables"
"G05G","Control devices or systems insofar as characterised by mechanical features only"
"G06C","Digital computers in which all the computation is effected mechanically"
"G06E","Optical computing devices; ; computing devices using other radiations with similar properties"
"G06F","Electric digital data processing"
"G06G","Analogue computers"
"G06J","Hybrid computing arrangements"
"G06K","Graphical data reading ; presentation of data; record carriers; handling record carriers"
"G06M","Counting mechanisms; counting of objects not otherwise provided for"
"G06N","Computing arrangements based on specific computational models"
"G06Q","Information and communication technology [ict] specially adapted for administrative, commercial, financial, managerial or supervisory purposes; systems or methods specially adapted for administrative, commercial, financial, managerial or supervisory purposes, not otherwise provided for"
"G06T","Image data processing or generation, in general"
"G06V","Image or video recognition or understanding"
"G07B","Ticket-issuing apparatus; fare-registering apparatus; franking apparatus"
"G07C","Time or attendance registers; registering or indicating the working of machines; generating random numbers; voting or lottery apparatus; arrangements, systems or apparatus for checking not provided for elsewhere"
"G07D","Handling of coins or valuable papers, e.g. testing, sorting by denominations, counting, dispensing, changing or depositing"
"G07F","Coin-freed or like apparatus"
"G07G","Registering the receipt of cash, valuables, or tokens"
"G08B","Signalling or calling systems; order telegraphs; alarm systems"
"G08C","Transmission systems for measured values, control or similar signals"
"G08G","Traffic control systems"
"G09B","Educational or demonstration appliances; appliances for teaching, or communicating with, the blind, deaf or mute; models; planetaria; globes; maps; diagrams"
"G09C","Ciphering or deciphering apparatus for cryptographic or other purposes involving the need for secrecy"
"G09F","Displaying; advertising; signs; labels or name-plates; seals"
"G09G","Arrangements or circuits for control of indicating devices using static means to present variable information"
"G10D","Stringed musical instruments; wind musical instruments; accordions or concertinas; percussion musical instruments; aeolian harps; singing-flame musical instruments; musical instruments not otherwise provided for"
"G10G","Representation of music; recording music in notation form; accessories for music or musical instruments not otherwise provided for, e.g. supports"
"G10H","Electrophonic musical instruments; instruments in which the tones are generated by electromechanical means or electronic generators, or in which the tones are synthesised from a data store"
"G10K","Sound-producing devices; methods or devices for protecting against, or for damping, noise or other acoustic waves in general; acoustics not otherwise provided for"
"G10L","Speech analysis techniques or speech synthesis; speech recognition; speech or voice processing techniques; speech or audio coding or decoding"
"G11B","Information storage based on relative movement between record carrier and transducer"
"G11C","Static stores"
"G12B","Constructional details of instruments, or comparable details of other apparatus, not otherwise provided for"
"G16B","BIOINFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR GENETIC OR PROTEIN-RELATED DATA PROCESSING IN COMPUTATIONAL MOLECULAR BIOLOGY"
"G16C","Computational chemistry; chemoinformatics; computational materials science"
"G16H","HEALTHCARE INFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR THE HANDLING OR PROCESSING OF MEDICAL OR HEALTHCARE DATA"
"G16Y","INFORMATION AND COMMUNICATION TECHNOLOGY SPECIALLY ADAPTED FOR THE INTERNET OF THINGS [IoT]"
"G16Z","Information and communication technology [ict] specially adapted for specific application fields, not otherwise provided for"
"G21B","Fusion reactors"
"G21C","Nuclear reactors"
"G21D","Nuclear power plant"
"G21F","Protection against x-radiation, gamma radiation, corpuscular radiation or particle bombardment; treating radioactively contaminated material; decontamination arrangements therefor"
"G21G","Conversion of chemical elements; radioactive sources"
"G21H","Obtaining energy from radioactive sources; applications of radiation from radioactive sources, not otherwise provided for; utilising cosmic radiation"
"G21K","Techniques for handling particles or ionising radiation not otherwise provided for; irradiation devices; gamma ray or x-ray microscopes"
"H01B","Cables; conductors; insulators; selection of materials for their conductive, insulating or dielectric properties"
"H01C","Resistors"
"H01F","Magnets; inductances; transformers; selection of materials for their magnetic properties"
"H01G","Capacitors; capacitors, rectifiers, detectors, switching devices, light-sensitive or temperature-sensitive devices of the electrolytic type"
"H01H","Electric switches; relays; selectors; emergency protective devices"
"H01J","Electric discharge tubes or discharge lamps"
"H01K","Electric incandescent lamps"
"H01L","Semiconductor devices not covered by class h10"
"H01M","Processes or means, e.g. batteries, for the direct conversion of chemical energy into electrical energy"
"H01P","Waveguides; resonators, lines, or other devices of the waveguide type"
"H01Q","ANTENNAS, i.e. RADIO AERIALS"
"H01R","Electrically-conductive connections; structural associations of a plurality of mutually-insulated electrical connecting elements; coupling devices; current collectors"
"H01S","Devices using the process of light amplification by stimulated emission of radiation [laser] to amplify or generate light; devices using stimulated emission of electromagnetic radiation in wave ranges other than optical"
"H01T","Spark gaps; overvoltage arresters using spark gaps; sparking plugs; corona devices; generating ions to be introduced into non-enclosed gases"
"H02B","Boards, substations or switching arrangements for the supply or distribution of electric power"
"H02G","Installation of electric cables or lines, or of combined optical and electric cables or lines"
"H02H","Emergency protective circuit arrangements"
"H02J","Circuit arrangements or systems for supplying or distributing electric power; systems for storing electric energy"
"H02K","Dynamo-electric machines"
"H02M","Apparatus for conversion between ac and ac, between ac and dc, or between dc and dc, and for use with mains or similar power supply systems; conversion of dc or ac input power into surge output power; control or regulation thereof"
"H02N","Electric machines not otherwise provided for"
"H02P","Control or regulation of electric motors, electric generators or dynamo-electric converters; controlling transformers, reactors or choke coils"
"H02S","Generation of electric power by conversion of infrared radiation, visible light or ultraviolet light, e.g. using photovoltaic [pv] modules"
"H03B","Generation of oscillations, directly or by frequency-changing, by circuits employing active elements which operate in a non-switching manner; generation of noise by such circuits"
"H03C","Modulation"
"H03D","Demodulation or transference of modulation from one carrier to another"
"H03F","Amplifiers"
"H03G","Control of amplification"
"H03H","Impedance networks, e.g. resonant circuits; resonators"
"H03J","Tuning resonant circuits; selecting resonant circuits"
"H03K","Pulse technique"
"H03L","Automatic control, starting, synchronisation or stabilisation of generators of electronic oscillations or pulses"
"H03M","Coding; decoding; code conversion in general"
"H04B","Transmission"
"H04H","Broadcast communication"
"H04J","Multiplex communication"
"H04K","Secret communication; jamming of communication"
"H04L","Transmission of digital information, e.g. telegraphic communication"
"H04M","Telephonic communication"
"H04N","Pictorial communication, e.g. television"
"H04Q","Selecting"
"H04R","Loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers; deaf-aid sets; public address systems"
"H04S","Stereophonic systems"
"H04T","Indexing scheme relating to standards for electric communication technique"
"H04W","Wireless communication networks"
"H05B","Electric heating; electric light sources not otherwise provided for; circuit arrangements for electric light sources, in general"
"H05F","Static electricity; naturally-occurring electricity"
"H05G","X-ray technique"
"H05H","Plasma technique ; production of accelerated electrically-charged particles or of neutrons; production or acceleration of neutral molecular or atomic beams"
"H05K","Printed circuits; casings or constructional details of electric apparatus; manufacture of assemblages of electrical components"
"H10B","Electronic memory devices"
"H10D","Inorganic electric semiconductor devices"
"H10F","Inorganic semiconductor devices sensitive to infrared radiation, light, electromagnetic radiation of shorter wavelength or corpuscular radiation"
"H10H","Inorganic light-emitting semiconductor devices having potential barriers"
"H10K","Organic electric solid-state devices"
"H10N","Electric solid-state devices not otherwise provided for"
"Y02A","Technologies for adaptation to climate change"
"Y02B","Climate change mitigation technologies related to buildings, e.g. housing, house appliances or related end-user applications"
"Y02C","Capture, storage, sequestration or disposal of greenhouse gases [ghg]"
"Y02D","Climate change mitigation technologies in information and communication technologies [ict], i.e. information and communication technologies aiming at the reduction of their own energy use"
"Y02E","Reduction of greenhouse gas [ghg] emissions, related to energy generation, transmission or distribution"
"Y02P","Climate change mitigation technologies in the production or processing of goods"
"Y02T","Climate change mitigation technologies related to transportation"
"Y02W","Climate change mitigation technologies related to wastewater treatment or waste management"
"Y04S","SYSTEMS INTEGRATING TECHNOLOGIES RELATED TO POWER NETWORK OPERATION, COMMUNICATION OR INFORMATION TECHNOLOGIES FOR IMPROVING THE ELECTRICAL POWER GENERATION, TRANSMISSION, DISTRIBUTION, MANAGEMENT OR USAGE, i.e. SMART GRIDS"
"Y10S","TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS"
"Y10T","Technical subjects covered by former us classification"
